trial,rep,plot,n_rate,inoc_rate,d15n_vt_permil,n_uptake_vt_kgha,yield_mgha
IL01451,3,307,low,Medium,NA,297.9173532558429,16.16084910792
IL01451,3,308,low,Low,NA,301.1926945795977,15.765830737469999
IL01451,3,311,high,Control,NA,230.28767768325136,15.11653852995
IL01451,4,401,low,Medium,NA,160.89267590679282,14.75634468627
IL01451,4,402,low,Low,NA,155.20959014365624,15.50370871632
IL01451,4,405,low,Control,NA,305.13662259531424,15.827761627920001
IL01451,4,409,low,High,NA,161.6201314321331,15.70708927689
IL01451,4,414,high,Control,NA,84.43664703810441,14.67053035008
IL01451,5,502,low,Medium,NA,189.60262182738245,15.459415517700002
IL01451,5,505,low,High,NA,182.765926652215,15.830789599020001
IL01451,5,506,low,Control,NA,153.30984820473032,16.15006165443
IL01451,5,507,low,Low,NA,182.5509967298517,15.58283835471
IL01451,5,515,high,Control,NA,188.85421636217166,15.05503427538
IL01451,6,603,low,Control,NA,206.1476779352245,16.28321168166
IL01451,6,606,low,High,NA,251.5803102187162,15.783819354930001
IL01451,6,608,low,Low,NA,176.27232473588018,15.40459165971
IL01451,6,609,low,Medium,NA,221.45012636156267,16.13776569537
IL01451,6,617,high,Control,NA,207.58053363578642,14.854684212720002
IL03451,1,101,high,Control,3.99,275.38835898199267,15.33999275259
IL03451,1,111,low,High,3.5699999,191.91079262993603,13.139485083120002
IL03451,1,112,low,Control,2.43,132.6237073472799,15.35127621951
IL03451,1,117,low,Low,5.98,150.30116811407146,14.73299523135
IL03451,1,118,low,Medium,3.45,159.96199603657652,15.253884986670002
IL03451,2,209,high,Control,0.6799999999999999,229.6135779177973,14.104420564740002
IL03451,2,210,low,Medium,3.31,171.8169089852379,14.473435420620003
IL03451,2,213,low,Low,4.88499995,202.78263641334064,14.964144129660001
IL03451,2,214,low,High,4.44,175.33154392735534,14.58704752593
IL03451,2,215,low,Control,2.56,245.2909836393133,13.961232756570002
IL03451,3,303,high,Control,0.39,246.82335830045903,16.14043869669
IL03451,3,311,low,Low,1.51,184.5369988446704,16.32594020178
IL03451,3,312,low,Control,0.62,205.14910472777308,16.28007477558
IL03451,3,313,low,High,3.73,178.24088319239993,14.66462599767
IL03451,3,316,low,Medium,4.96,133.99399873278463,15.441469329330001
IL03451,4,407,high,Control,8.14,175.7278821905149,15.94825833744
IL03451,4,411,low,Medium,4.3399999,200.93182212679577,16.40914176
IL03451,4,416,low,Control,7.4049999,166.40884636695534,15.070093354470002
IL03451,4,417,low,Low,6.86,177.76862205474126,15.55661631183
IL03451,4,418,low,High,5.5999999,139.70730983381446,15.62941802796
IL03451,5,503,high,Control,4.53,145.06775555080608,14.91214208517
IL03451,5,511,low,Control,2.46999995,194.19048457353037,15.607160944980002
IL03451,5,513,low,Medium,6.7599999,180.78759776806012,15.577484834340002
IL03451,5,514,low,Low,2.48,197.8067597664862,14.518124588550002
IL03451,5,516,low,High,3.68,151.98190712358246,14.941921475250002
IL03451,6,609,high,Control,5.075,181.02403262687702,15.16001678532
IL03451,6,610,low,Control,2.68,239.34354057389038,15.54874399452
IL03451,6,611,low,Low,4.57,166.65611374529445,16.568576260500002
IL03451,6,614,low,Medium,9.6049999,164.90106297465562,15.01372480674
IL03451,6,617,low,High,2.58,214.86431050077076,15.21395248527
IN01451,1,109,high,Control,NA,262.506357225951,12.105846101580001
IN01451,1,110,low,Medium,NA,297.97509167654755,13.700329629690001
IN01451,1,114,low,Control,NA,246.8027711137918,12.822382341119999
IN01451,1,115,low,Low,NA,207.16303408055404,11.59464713913
IN01451,1,116,low,High,NA,262.0709472930152,11.13704214909
IN01451,2,205,high,Control,NA,236.34561568763093,14.331668444610001
IN01451,2,212,low,Control,NA,220.83744173720896,14.17828883922
IN01451,2,213,low,Medium,NA,262.3567374530616,13.785550134180001
IN01451,2,217,low,High,NA,227.4520300181661,11.455823997089999
IN01451,2,218,low,Low,NA,200.1140933737809,11.350713886380001
IN01451,3,302,high,Control,NA,306.4227882819804,14.48318664375
IN01451,3,314,low,Medium,NA,241.13745879116033,13.62076547403
IN01451,3,315,low,High,NA,213.60270610769152,12.96933216183
IN01451,3,316,low,Low,NA,281.149036018739,11.90677410945
IN01451,3,318,low,Control,NA,291.60782657542467,12.737883300450001
IN01451,4,408,high,Control,NA,314.2747302438837,14.378688347100002
IN01451,4,410,low,Low,NA,293.65792031416635,14.05028781123
IN01451,4,411,low,High,NA,232.98520752959942,14.733653556270001
IN01451,4,415,low,Control,NA,273.58388585336604,13.204399941810001
IN01451,4,418,low,Medium,NA,339.60142537728484,13.98120522711
IN01451,5,506,high,Control,NA,376.55196989364896,15.38670296724
IN01451,5,510,low,Medium,NA,311.89701689655556,15.685422062970002
IN01451,5,512,low,High,NA,338.2552413428808,14.80415022603
IN01451,5,514,low,Low,NA,274.18277668126524,13.45340659014
IN01451,5,516,low,Control,NA,234.53981822858054,13.20076371174
IN01451,6,601,high,Control,NA,197.26799372228695,14.600775358620002
IN01451,6,610,low,Control,NA,292.89406014303535,13.74526302666
IN01451,6,613,low,Low,NA,193.4892597929417,14.140991518500002
IN01451,6,614,low,High,NA,217.64697533990952,13.91245452663
IN01451,6,618,low,Medium,NA,268.5138928305615,12.73300902753
IN02451,1,102,low,Low,NA,123.62530772968515,11.43977556216
IN02451,1,106,low,Medium,NA,88.97561608144815,12.28094295549
IN02451,1,107,low,High,NA,172.1196797847456,13.09754627577
IN02451,1,108,low,Control,NA,57.33970975453054,13.172046390690001
IN02451,1,114,high,Control,NA,56.579946103026245,11.94773203173
IN02451,2,201,low,Control,NA,64.28155336708348,11.281053126749999
IN02451,2,202,low,Medium,NA,75.5671658007686,11.87873717745
IN02451,2,204,low,High,NA,95.03716063794556,10.712869225410001
IN02451,2,207,low,Low,NA,118.62581965151399,11.281683525090001
IN02451,2,210,high,Control,NA,101.28026437414279,11.68205931585
IN02451,3,303,low,High,NA,69.12510428682911,10.99608902535
IN02451,3,306,low,Low,NA,89.54800498273993,11.787433606740002
IN02451,3,308,low,Medium,NA,71.8627678364059,11.17289713155
IN02451,3,309,low,Control,NA,58.38052981649815,11.180214027180002
IN02451,3,316,high,Control,NA,101.06942880316927,11.50628248671
IN02451,4,402,low,High,NA,78.66626965977252,11.855112576120002
IN02451,4,404,low,Low,NA,108.58955228805858,10.914590273730003
IN02451,4,405,low,Medium,NA,96.45914836126042,10.729005565740001
IN02451,4,407,low,Control,NA,107.35729741931044,10.2771636462
IN02451,4,411,high,Control,NA,112.09251064491377,12.24622213452
IN02451,5,503,low,Control,NA,96.99273297541681,10.93500780141
IN02451,5,505,low,Low,NA,101.36796344911242,10.42459400598
IN02451,5,507,low,Medium,NA,113.63383897578375,10.408699424309999
IN02451,5,508,low,High,NA,73.53308790964215,10.03014885147
IN02451,5,514,high,Control,NA,110.85996971290399,12.91427200008
IN02451,6,601,low,Control,NA,61.27980310389877,11.45886191241
IN02451,6,602,low,Low,NA,65.76769768215566,11.34579739128
IN02451,6,606,low,High,NA,69.10997933220641,11.090823063540002
IN02451,6,609,low,Medium,NA,90.13592509270475,11.07173671329
IN02451,6,610,high,Control,NA,124.18395507121524,12.50654565633
KY01451,1,103,low,Low,NA,NA,10.27051917672
KY01451,1,104,low,Medium,NA,NA,9.962358388950001
KY01451,1,107,low,Control,NA,NA,9.875055222450001
KY01451,1,109,low,High,NA,NA,9.80017103241
KY01451,1,113,high,Control,NA,NA,10.780091456640001
KY01451,2,202,low,Medium,NA,NA,10.08013661457
KY01451,2,203,low,High,NA,NA,10.521212154090001
KY01451,2,204,low,Low,NA,NA,9.64129764675
KY01451,2,205,low,Control,NA,NA,9.197908577549999
KY01451,2,214,high,Control,NA,NA,11.063250763620001
KY01451,3,302,low,High,NA,NA,10.75302175365
KY01451,3,305,low,Low,NA,NA,10.641414531
KY01451,3,306,low,Control,NA,NA,10.298945250000001
KY01451,3,308,low,Medium,NA,NA,9.613063962150001
KY01451,3,311,high,Control,NA,NA,10.31517360885
KY01451,4,401,low,Medium,NA,NA,10.538123504040001
KY01451,4,402,low,Control,NA,NA,10.083998903220001
KY01451,4,404,low,Low,NA,NA,9.37409733942
KY01451,4,405,low,High,NA,NA,9.491365726260002
KY01451,4,412,high,Control,NA,NA,10.4043189327
KY01451,5,501,low,Control,NA,NA,10.72806837003
KY01451,5,503,low,High,NA,NA,10.826727534809999
KY01451,5,505,low,Medium,NA,NA,10.28263032126
KY01451,5,509,low,Low,NA,NA,9.749133959729999
KY01451,5,513,high,Control,NA,NA,9.788545681199999
KY01451,6,601,low,Low,NA,NA,11.05941733578
KY01451,6,607,low,Control,NA,NA,9.60676308867
KY01451,6,608,low,Medium,NA,NA,10.533020275800002
KY01451,6,609,low,High,NA,NA,10.757076437250001
KY01451,6,617,high,Control,NA,NA,9.56648559933
MI01451,1,101,high,Control,4.12,119.3467468562056,12.665282813700001
MI01451,1,111,low,High,3.5299999,179.64908147882682,9.997084357590001
MI01451,1,114,low,Low,4.0099999,115.34358982580528,9.33940596864
MI01451,1,116,low,Medium,5.2599999,132.52943686576484,10.875354870930002
MI01451,1,118,low,Control,4.23,139.47189213839752,9.21108749055
MI01451,2,209,high,Control,3.94,108.58956948094325,12.91216833357
MI01451,2,210,low,Medium,3.5699999,108.7181972332634,10.561427100180001
MI01451,2,212,low,Control,3.7799999,175.59272650311294,9.737821230720002
MI01451,2,213,low,High,4.0999999,259.2236056649671,11.402227134210001
MI01451,2,218,low,Low,4.5599999,157.12351184863934,11.855257977420003
MI01451,3,301,high,Control,7.3899999,95.7746520873649,9.326156819100001
MI01451,3,312,low,High,4.0599999,121.63117355362178,11.154726916080001
MI01451,3,314,low,Control,4.1299999,151.37852163302355,10.476091152450001
MI01451,3,315,low,Medium,0.85,178.07469616964323,9.28600535049
MI01451,3,317,low,Low,0.72,131.90817004415132,9.41724147276
MI01451,4,402,high,Control,2.9199999,218.49929393228572,12.57943895208
MI01451,4,410,low,Low,3.64,169.1777656278476,11.13039304608
MI01451,4,411,low,High,4.3399999,149.0855300754899,14.33475346644
MI01451,4,413,low,Medium,3.6699999,151.49719039604585,12.841221465270001
MI01451,4,417,low,Control,5.5599999,169.02826502042012,9.278271148740002
MI01451,5,504,high,Control,5.66,171.65939787297836,12.973187722770001
MI01451,5,511,low,Medium,4.2599999,155.14198420748164,13.071515969490001
MI01451,5,513,low,Low,4.36,179.4493717768568,11.08530380199
MI01451,5,515,low,High,3.58,139.65856187939823,9.76173087879
MI01451,5,516,low,Control,5.53,152.7620028571933,8.62391731443
MI01451,6,605,high,Control,5.16,213.06902532084638,13.04977651263
MI01451,6,610,low,High,3.49,124.34293373780847,12.306961311150001
MI01451,6,614,low,Medium,2.0699999,183.20263845720913,10.40444012553
MI01451,6,616,low,Low,2.43,102.61407311546944,11.89036490499
MI01451,6,618,low,Control,5.7599999,109.13548191956356,8.32191406794
MN01451,1,103,low,High,2.04,161.40019692637657,12.20994719373
MN01451,1,104,low,Control,2.645,215.04741626078845,12.166057200000001
MN01451,1,108,low,Low,2.4050000000000002,219.67688978496423,11.825031900000003
MN01451,1,109,low,Medium,1.28,177.82602692816457,11.696998500000001
MN01451,1,113,high,Control,1.48,239.08936324883595,11.5319721
MN01451,2,202,low,Control,3.2350000000000003,204.0331029408384,11.53335149373
MN01451,2,203,low,Medium,2.5699999,228.395582935446,12.1316976
MN01451,2,206,low,High,2.1699999500000002,271.13623284696905,11.7159966
MN01451,2,207,low,Low,2.2599999,187.19877335765503,11.142667800000002
MN01451,2,218,high,Control,2.035,190.65444726480095,11.4391134
MN01451,3,301,low,High,2.37,197.46425376217468,9.43008
MN01451,3,303,low,Low,2.16,141.57759509222467,10.9722492
MN01451,3,304,low,Medium,2.3349999500000003,193.05808857913607,10.31183009373
MN01451,3,308,low,Control,2.23999995,184.7594312350618,11.031312593730002
MN01451,3,316,high,Control,3.15499995,97.3355354004999,11.592791100000001
MN01451,4,401,low,Control,3.5699999,230.80952570280962,10.75436669373
MN01451,4,406,low,Medium,4.04499995,196.99534629052386,11.66389289373
MN01451,4,407,low,High,3.8799999,137.38204870610227,11.734743900000002
MN01451,4,408,low,Low,4.6799999,115.4190955803047,11.168124000000002
MN01451,4,414,high,Control,2.29,122.09361850639175,12.1626714
MN01451,5,503,low,Control,4.04,173.19331233355092,12.053448
MN01451,5,504,low,Low,4.62499995,156.55219537228504,12.252207
MN01451,5,505,low,High,3.34,206.64821181825351,10.5816909
MN01451,5,509,low,Medium,4.0499999,101.57579537102751,10.9777041
MN01451,5,517,high,Control,2.8999999,228.58837613361788,10.509899400000002
MN01451,6,601,low,Medium,3.0899999,188.81702179255763,11.94046259373
MN01451,6,602,low,Control,6.28499995,143.08301939106107,10.2488166
MN01451,6,604,low,High,6.45,154.15491563015215,10.9815915
MN01451,6,606,low,Low,5.3699999,178.30778388053176,10.88578589373
MN01451,6,615,high,Control,5.33,211.31002428900553,13.0969014
MN02451,1,105,high,Control,5.11,172.33355856952213,11.37981959004
MN02451,1,110,low,Control,4.87,179.24973109931395,12.396292183109999
MN02451,1,111,low,High,4.15,190.6836465272231,13.599702268020001
MN02451,1,113,low,Low,6.66,164.6580206330933,11.72156468604
MN02451,1,116,low,Medium,11.544999950000001,112.77591724844746,12.49560272565
MN02451,2,209,high,Control,3.1699999,139.2499404949064,11.99612912718
MN02451,2,210,low,Low,4.32,152.80980159667368,12.38460858987
MN02451,2,214,low,Medium,2.09499995,187.81366242254606,12.609517759740001
MN02451,2,215,low,Control,0.58,204.0557484964462,12.831506025029999
MN02451,2,218,low,High,3.2349999,152.88564694733012,12.93665836419
MN02451,3,308,high,Control,3.6649998999999998,189.81998100745787,12.425501166210001
MN02451,3,311,low,Low,1.29,226.39426687070033,12.47223553917
MN02451,3,312,low,High,2.1550000000000002,126.22613111344307,13.26964076526
MN02451,3,314,low,Control,1.57,183.4385421885752,13.04473159539
MN02451,3,318,low,Medium,3.04999995,113.37911268511499,13.202460104130001
MN02451,4,409,high,Control,3.35,107.89786727022785,11.885134991400001
MN02451,4,410,low,Control,4.3499999,97.42049269299284,12.21519649416
MN02451,4,412,low,Medium,2.175,120.13029331734246,11.344768816590001
MN02451,4,413,low,High,2.04,170.08884029608657,13.02136440891
MN02451,4,417,low,Low,2.62,103.27890297888854,12.285298053600002
MN02451,5,504,high,Control,3.23,140.2133528986402,12.11880684993
MN02451,5,510,low,Medium,2.9149999500000003,150.01376511243316,11.35645240983
MN02451,5,514,low,Low,3.74,188.41006954775182,12.12172774824
MN02451,5,515,low,High,2.49,134.2910491979239,12.095439663450001
MN02451,5,516,low,Control,2.2599999,113.37873184712255,13.04473159539
MN02451,6,608,high,Control,3.18,132.4903046398036,13.11191225652
MN02451,6,611,low,Medium,1.28999995,149.06373361552528,13.13235854469
MN02451,6,616,low,High,1.87,203.44283822995115,13.073940578490001
MN02451,6,617,low,Control,1.27,254.30333684992655,12.79937614362
MN02451,6,618,low,Low,4.7,98.58915568293388,12.6270431496
MN03451,1,106,high,Control,NA,187.74126404741483,15.38852108541
MN03451,1,110,low,High,NA,146.1596725651206,14.22400431837
MN03451,1,113,low,Low,NA,117.87348833618466,14.470575278610001
MN03451,1,114,low,Control,NA,86.3866894019295,14.73717434937
MN03451,1,118,low,Medium,NA,84.67322116392414,13.874291438040002
MN03451,2,203,high,Control,NA,138.5742966772757,14.464832341080003
MN03451,2,210,low,Medium,NA,104.65481635654952,12.55295508654
MN03451,2,216,low,Control,NA,87.68938811985328,11.9628470643
MN03451,2,217,low,High,NA,73.37147948593393,13.46738010024
MN03451,2,218,low,Low,NA,61.10331745909688,12.6723157473
MN03451,3,308,high,Control,NA,96.0664507495607,14.808253972380001
MN03451,3,310,low,Low,NA,133.22567452500633,15.718119266520002
MN03451,3,311,low,Medium,NA,330.5196065833367,15.847724856480001
MN03451,3,312,low,Control,NA,132.25088368271886,15.96062110962
MN03451,3,316,low,High,NA,159.57771004262418,15.54205075071
MN03451,4,402,high,Control,NA,162.5870071325437,12.71589277398
MN03451,4,411,low,High,NA,157.80416101018486,15.15839973351
MN03451,4,413,low,Medium,NA,178.71104046279478,16.29423069252
MN03451,4,415,low,Control,NA,161.16360140390483,15.01903981677
MN03451,4,417,low,Low,NA,193.82240149561724,15.837739655760002
MN03451,5,503,high,Control,NA,178.94634535353362,15.082096642470002
MN03451,5,512,low,Control,NA,168.43760412404595,15.556855399469999
MN03451,5,514,low,Low,NA,194.69622031233988,15.713703844740001
MN03451,5,515,low,High,NA,140.99413492137674,16.45728381693
MN03451,5,518,low,Medium,NA,156.41021522425444,15.38182580385
MN03451,6,606,high,Control,NA,198.17502176290816,15.942266813220002
MN03451,6,612,low,Low,NA,152.97529511098986,16.92866607234
MN03451,6,615,low,Medium,NA,264.2394912418209,16.74443046771
MN03451,6,617,low,High,NA,266.4708241947761,16.52752652661
MN03451,6,618,low,Control,NA,154.57243307853756,15.73575209283
MO01451,1,102,high,Control,-0.74,223.28927714928705,14.209701
MO01451,1,110,low,Control,0.8,322.1329866804107,14.40783299373
