trial,rep,n_rate,inoc_rate,trt,target_strain,copies_per_g_fw
IL01451,1,Low,Low,PROVEN40,6-5687,567.86075919825
IL01451,1,Low,Medium,PROVEN40,137-2253,51374.39119612915
IL01451,1,Low,Medium,PROVEN40,6-5687,178565.3307919748
IL01451,1,Low,High,PROVEN40,137-2253,132917.2175124039
IL01451,1,Low,High,PROVEN40,6-5687,398216.7797968644
IL01451,2,Low,Control,UTC,137-2253,0
IL01451,2,Low,Control,UTC,6-5687,0
IL01451,2,Low,Low,PROVEN40,137-2253,744.003050882665
IL01451,2,Low,Low,PROVEN40,6-5687,377.471917766132
IL01451,2,Low,Medium,PROVEN40,137-2253,8298.49130703615
IL01451,2,Low,Medium,PROVEN40,6-5687,3652.895958207345
IL01451,2,Low,High,PROVEN40,137-2253,171354.4796588213
IL01451,2,Low,High,PROVEN40,6-5687,28176.4572024334
IL01451,3,Low,Control,UTC,137-2253,0
IL01451,3,Low,Control,UTC,6-5687,0
IL01451,3,Low,Low,PROVEN40,137-2253,1913.1776413476
IL01451,3,Low,Low,PROVEN40,6-5687,14325.03165755063
IL01451,3,Low,Medium,PROVEN40,137-2253,71405.09448806419
IL01451,3,Low,Medium,PROVEN40,6-5687,12252.26939457033
IL01451,3,Low,High,PROVEN40,137-2253,29467.98658881375
IL01451,3,Low,High,PROVEN40,6-5687,10824.517078442092
IL01451,4,Low,Control,UTC,137-2253,0
IL01451,4,Low,Control,UTC,6-5687,0
IL01451,4,Low,Low,PROVEN40,137-2253,2185.408036824915
IL01451,4,Low,Low,PROVEN40,6-5687,752.217778475655
IL01451,4,Low,Medium,PROVEN40,137-2253,9557.7206825479
IL01451,4,Low,Medium,PROVEN40,6-5687,13894.53875522239
IL01451,4,Low,High,PROVEN40,137-2253,4116.21914691921
IL01451,4,Low,High,PROVEN40,6-5687,1974.1869180835474
IL01451,5,Low,Control,UTC,137-2253,20.97432330369125
IL01451,5,Low,Control,UTC,6-5687,0
IL01451,5,Low,Low,PROVEN40,137-2253,31944.415930151656
IL01451,5,Low,Low,PROVEN40,6-5687,3602.847950629594
IL01451,5,Low,Medium,PROVEN40,137-2253,24828.388029909114
IL01451,5,Low,Medium,PROVEN40,6-5687,22760.94229643624
IL01451,5,Low,High,PROVEN40,137-2253,3686.14423950341
IL01451,5,Low,High,PROVEN40,6-5687,3612.256384500084
IL01451,6,Low,Control,UTC,137-2253,46.6489525820082
IL01451,6,Low,Control,UTC,6-5687,0
IL01451,6,Low,Low,PROVEN40,137-2253,5745.666785632437
IL01451,6,Low,Low,PROVEN40,6-5687,791.05457276959
IL01451,6,Low,Medium,PROVEN40,137-2253,9998.062523229884
IL01451,6,Low,Medium,PROVEN40,6-5687,6970.816183887349
IL01451,6,Low,High,PROVEN40,137-2253,4726.577766682605
IL01451,6,Low,High,PROVEN40,6-5687,4069.10598329572
IL03451,1,Low,Control,UTC,137-2253,85.2433161912086
IL03451,1,Low,Control,UTC,6-5687,353.9433766613885
IL03451,1,Low,Low,PROVEN40,137-2253,12727.065248195535
IL03451,1,Low,Low,PROVEN40,6-5687,30671.522724954342
IL03451,1,Low,Medium,PROVEN40,137-2253,44126.41584937075
IL03451,1,Low,Medium,PROVEN40,6-5687,13907.8723262512
IL03451,1,Low,High,PROVEN40,137-2253,182970.76915817327
IL03451,1,Low,High,PROVEN40,6-5687,740899.851533799
IL03451,2,Low,Control,UTC,137-2253,43.90840420658795
IL03451,2,Low,Control,UTC,6-5687,0
IL03451,2,Low,Low,PROVEN40,137-2253,354924.916056461
IL03451,2,Low,Low,PROVEN40,6-5687,890671.706402458
IL03451,2,Low,Medium,PROVEN40,137-2253,28422.72052196355
IL03451,2,Low,Medium,PROVEN40,6-5687,26511.16103300195
IL03451,2,Low,High,PROVEN40,137-2253,24236.70931136725
IL03451,2,Low,High,PROVEN40,6-5687,29992.431843263003
IL03451,3,Low,Control,UTC,137-2253,0
IL03451,3,Low,Control,UTC,6-5687,0
IL03451,3,Low,Low,PROVEN40,137-2253,724850.554687556
IL03451,3,Low,Low,PROVEN40,6-5687,1018100.2994631245
IL03451,3,Low,Medium,PROVEN40,137-2253,27283.351940877903
IL03451,3,Low,Medium,PROVEN40,6-5687,23318.48885997525
IL03451,3,Low,High,PROVEN40,137-2253,122760.414377269
IL03451,3,Low,High,PROVEN40,6-5687,738536.1185660365
IL03451,4,Low,Control,UTC,137-2253,12888.546818001316
IL03451,4,Low,Control,UTC,6-5687,46671.16895574615
IL03451,4,Low,Low,PROVEN40,137-2253,64120.451237598056
IL03451,4,Low,Low,PROVEN40,6-5687,29516.4118655914
IL03451,4,Low,Medium,PROVEN40,137-2253,2155.065870016565
IL03451,4,Low,Medium,PROVEN40,6-5687,2080.587383282425
IL03451,4,Low,High,PROVEN40,137-2253,118072.1035652277
IL03451,4,Low,High,PROVEN40,6-5687,143352.37830960294
IL03451,5,Low,Control,UTC,137-2253,47.6803745338847
IL03451,5,Low,Control,UTC,6-5687,0
IL03451,5,Low,Low,PROVEN40,137-2253,60699.581237840146
IL03451,5,Low,Low,PROVEN40,6-5687,135956.21687404765
IL03451,5,Low,Medium,PROVEN40,137-2253,10191.265761801555
IL03451,5,Low,Medium,PROVEN40,6-5687,51464.42372893515
IL03451,5,Low,High,PROVEN40,137-2253,20163.9259014283
IL03451,5,Low,High,PROVEN40,6-5687,18464.61984385805
IL03451,6,Low,Control,UTC,137-2253,515.7340276051405
IL03451,6,Low,Control,UTC,6-5687,304.1064696125125
IL03451,6,Low,Low,PROVEN40,137-2253,21344.2864967647
IL03451,6,Low,Low,PROVEN40,6-5687,17697.819881002
IL03451,6,Low,Medium,PROVEN40,137-2253,215935.7534316554
IL03451,6,Low,Medium,PROVEN40,6-5687,822552.0748573897
IL03451,6,Low,High,PROVEN40,137-2253,192945.837407331
