year,plot,rep,microbe,n_rate,V8_leaftip_d15n_permil,V8_shoot_d15n_permil,R1_shoot_d15n_permil,R1_leaf_d15n_permil,R1_stem_d15n_permil,R1_ear_d15n_permil,R6_shoot_d15n_permil,R6_leaf_d15n_permil,R6_stem_d15n_permil,R6_kernel_d15n_permil,V8_shoot_n_kgha,R1_shoot_n_kgha,R6_shoot_n_kgha
2021,101,1,PROVEN40,0,11.8155606764,9.260072532,1.8744506986894247,5.988614310999999,3.6404076536,6.968632872200001,1.5150275825255957,1.0358595476,1.3707101588,8.8975148252,40.29999310135018,98.29016699675911,77.17319129484956
2021,102,1,UTC,0,13.4767796015,12.11951197,2.2920663059442554,7.780797337,4.090500699200001,7.168826864100001,2.2671781159576945,3.1600880899999995,4.3775931662,9.6148722767,22.485329484240513,106.92023851892156,125.50454006858196
2021,103,1,PROVEN40,95,7.8483804902,6.188080088,2.449901934427817,7.478090807999998,5.853782808800001,8.8522315152,2.653810705545169,3.2470974511999997,4.443459173,10.3342647848,41.531381779446995,198.7627467329458,183.9311399467938
2021,104,1,UTC,95,12.1087169573,9.838577636,2.1927472269560297,6.434655388499999,5.199193145600001,8.6826090196,2.163230197428263,3.4271168191999997,3.5373025946,8.633974995500001,36.77374370498203,198.02445514692437,176.74260320056297
2021,107,1,PROVEN40,175,6.325176721400001,3.23239023,2.2514094800756848,6.123930143499999,6.712869089600001,8.563281566299999,2.0550166110669745,4.0261812716000005,7.035186743600001,6.62,57.749545669849326,218.4579798509516,216.94311876944042
2021,108,1,UTC,175,11.521396985600001,9.533784652,1.8146028206155298,5.1676982605,4.558637564000001,7.0021629004,3.303451636599567,5.2573137272,5.511286859,12.8404369877,37.19741029912444,239.37931218638448,188.22808344254867
2021,109,1,PROVEN40,215,7.7113727438,4.126717012,1.3071110346001136,3.5599457025,3.476008412,5.664906481600001,1.9487435857080098,1.8529474568,3.0682567886000003,7.7293923368,62.98423921820632,209.38879372533847,230.13361585721051
2021,110,1,UTC,215,6.177087466100001,6.105866191,1.9397704913605496,4.9271367805,6.277812560000001,7.9143769029,2.4589349201009907,2.7010387015999995,3.75984986,9.6799940879,42.13157612114872,212.5209398478536,234.05769832417545
2021,117,1,PROVEN40,255,7.330571801600001,4.035479638,1.3562837955807812,3.366494179,4.2338488184,5.5307863688,1.4455737283654948,0.5398061780000001,2.7139775096000003,6.1023645851,81.08737500815685,220.2986640428386,318.32773527438854
2021,118,1,UTC,255,11.2191740156,4.763373409,1.8358921553910215,5.242873722999999,5.4678455648,6.2931014217,2.6584649865191596,4.8822733772,6.314043488,9.422559428000001,55.15286555879972,243.16201470941644,257.7205958776015
2021,201,2,PROVEN40,135,6.039442365500001,6.686376512,1.1441286991833044,3.3672368089,2.5126689536,4.430212502000001,1.2067354602973823,0.5688092984,1.0543537322,5.2740965489,52.313782711467425,225.27412641280594,218.9498516597224
2021,202,2,UTC,135,7.774839567500001,5.823130594,1.9484011193944983,5.883368663499999,4.802229123200001,7.598800166900001,1.4463353062629218,1.8239443364,0.5892998054,5.9477002835,44.38682573508966,196.47373574313013,226.67108884389785
2021,203,2,PROVEN40,0,8.837657012000001,8.240419687,1.5960636512031952,5.485439881999999,2.7231801776,4.9321767477,1.2293744157922688,-0.035255692000000005,2.1770697572,5.486759963599999,38.12482680703372,108.61966906214617,102.81104674557295
2021,204,2,UTC,0,10.768551790100002,11.33146169,2.0992396394305444,6.767432102499999,4.726044108800001,6.942006085100001,1.3065936362700497,0.8218365212000001,2.6127765198,6.3211331695999995,28.35293959092,70.73035185011872,123.07255616107682
2021,205,2,PROVEN40,255,7.8333400546,5.255654183,1.3218266399399956,3.316377204,3.2243973776,6.6057196258,1.4803698827192664,0.3067811072,3.4923939535999997,6.0809964908,42.81874267018456,222.7916593389525,287.878422552617
2021,206,2,UTC,255,5.4499279867,3.8540075,1.5937908717392102,4.112234766999999,4.758122009600001,7.074153843300001,1.8145210833141032,0.73482716,6.714838437799999,6.7535826971,34.80610515291825,211.27510021368792,251.26786119114078
2021,207,2,PROVEN40,215,10.071753669700001,9.168835158,1.4750883382957298,4.284637160999999,4.34812634,5.038683896100001,3.1296408278390313,4.4012216216,1.923585428,12.170903366300001,32.49316110440914,199.43567560576628,255.64402689162696
2021,208,2,UTC,215,6.7408169901,7.490468529,2.0710261325229435,5.392222308499999,6.0011406656,9.0346743157,2.7486801919461024,5.282316417200001,5.827643285600001,9.7237478048,35.634493900001566,217.38015309702726,315.13990264487256
2021,209,2,PROVEN40,175,8.0437891979,5.114286384,2.4205130517857216,7.931148261999998,5.0839131896,7.462707699500001,2.9585609798968946,3.8341606123999994,5.8476026816,11.39656433,52.26986605231851,205.04985012620722,178.54962724604826
