"","location","year","site_year","sampling","plot","rep","treatment","delta15N"
"3","Hancock","2021","Hancock - 2021","1","103","1","UTC",1110.33
"4","Hancock","2021","Hancock - 2021","1","104","1","ProveN40",663.015
"7","Hancock","2021","Hancock - 2021","1","107","2","ProveN40",887.31
"10","Hancock","2021","Hancock - 2021","1","110","2","UTC",986.575
"11","Hancock","2021","Hancock - 2021","1","111","3","ProveN40",1285.85
"13","Hancock","2021","Hancock - 2021","1","113","3","UTC",1003.77
"16","Hancock","2021","Hancock - 2021","1","116","4","ProveN40",971.37
"19","Hancock","2021","Hancock - 2021","1","119","4","UTC",762.985
"21","Hancock","2021","Hancock - 2021","1","121","5","UTC",1091.88
"23","Hancock","2021","Hancock - 2021","1","123","5","ProveN40",966.63
"26","Hancock","2021","Hancock - 2021","1","126","6","ProveN40",766.06
"28","Hancock","2021","Hancock - 2021","1","128","6","UTC",1170.925
"31","Hancock","2021","Hancock - 2021","1","131","7","UTC",1238.97
"33","Hancock","2021","Hancock - 2021","1","133","7","ProveN40",1253.91
"37","Hancock","2021","Hancock - 2021","1","137","8","ProveN40",942.56
"40","Hancock","2021","Hancock - 2021","1","140","8","UTC",1100.35
"41","Hancock","2021","Hancock - 2021","1","141","9","UTC",1110.11
"45","Hancock","2021","Hancock - 2021","1","145","9","ProveN40",996.645
"46","Hancock","2021","Hancock - 2021","1","146","10","UTC",1284.94
"49","Hancock","2021","Hancock - 2021","1","149","10","ProveN40",1107.93
"51","Hancock","2021","Hancock - 2021","1","151","11","ProveN40",925.14
"53","Hancock","2021","Hancock - 2021","1","153","11","UTC",1156.25
"56","Hancock","2021","Hancock - 2021","1","156","12","ProveN40",1192.945
"59","Hancock","2021","Hancock - 2021","1","159","12","UTC",1235.075
"63","Hancock","2021","Hancock - 2021","2","103","1","UTC",2523.3
"64","Hancock","2021","Hancock - 2021","2","104","1","ProveN40",1094.01
"67","Hancock","2021","Hancock - 2021","2","107","2","ProveN40",1484.96
"70","Hancock","2021","Hancock - 2021","2","110","2","UTC",1754.89
"71","Hancock","2021","Hancock - 2021","2","111","3","ProveN40",3185.11
"73","Hancock","2021","Hancock - 2021","2","113","3","UTC",2101.95
"76","Hancock","2021","Hancock - 2021","2","116","4","ProveN40",2662.17
"79","Hancock","2021","Hancock - 2021","2","119","4","UTC",2289.215
"81","Hancock","2021","Hancock - 2021","2","121","5","UTC",1758.395
"83","Hancock","2021","Hancock - 2021","2","123","5","ProveN40",1186.07
"86","Hancock","2021","Hancock - 2021","2","126","6","ProveN40",1325.36
"88","Hancock","2021","Hancock - 2021","2","128","6","UTC",1936.48
"91","Hancock","2021","Hancock - 2021","2","131","7","UTC",2828.295
"93","Hancock","2021","Hancock - 2021","2","133","7","ProveN40",1361.49
"97","Hancock","2021","Hancock - 2021","2","137","8","ProveN40",1168.96
"100","Hancock","2021","Hancock - 2021","2","140","8","UTC",1176.055
"101","Hancock","2021","Hancock - 2021","2","141","9","UTC",2143.805
"105","Hancock","2021","Hancock - 2021","2","145","9","ProveN40",1860.525
"106","Hancock","2021","Hancock - 2021","2","146","10","UTC",1905.325
"109","Hancock","2021","Hancock - 2021","2","149","10","ProveN40",1273.75
"111","Hancock","2021","Hancock - 2021","2","151","11","ProveN40",1196.835
"113","Hancock","2021","Hancock - 2021","2","153","11","UTC",1343.475
"116","Hancock","2021","Hancock - 2021","2","156","12","ProveN40",1160.98
"119","Hancock","2021","Hancock - 2021","2","159","12","UTC",1484.02
"123","Hancock","2021","Hancock - 2021","3","103","1","UTC",921.98
"124","Hancock","2021","Hancock - 2021","3","104","1","ProveN40",1351.2
"127","Hancock","2021","Hancock - 2021","3","107","2","ProveN40",880.26
"130","Hancock","2021","Hancock - 2021","3","110","2","UTC",1060.455
"131","Hancock","2021","Hancock - 2021","3","111","3","ProveN40",1373.195
"133","Hancock","2021","Hancock - 2021","3","113","3","UTC",1054.515
"136","Hancock","2021","Hancock - 2021","3","116","4","ProveN40",1039.915
"139","Hancock","2021","Hancock - 2021","3","119","4","UTC",1185.68
"141","Hancock","2021","Hancock - 2021","3","121","5","UTC",1130.215
"143","Hancock","2021","Hancock - 2021","3","123","5","ProveN40",872.57
"146","Hancock","2021","Hancock - 2021","3","126","6","ProveN40",797.705
"148","Hancock","2021","Hancock - 2021","3","128","6","UTC",1117.155
"151","Hancock","2021","Hancock - 2021","3","131","7","UTC",987.655
"153","Hancock","2021","Hancock - 2021","3","133","7","ProveN40",1068.675
"157","Hancock","2021","Hancock - 2021","3","137","8","ProveN40",1358.1
"160","Hancock","2021","Hancock - 2021","3","140","8","UTC",821.18
"161","Hancock","2021","Hancock - 2021","3","141","9","UTC",1246.7
"165","Hancock","2021","Hancock - 2021","3","145","9","ProveN40",1606.165
"166","Hancock","2021","Hancock - 2021","3","146","10","UTC",983.435
"169","Hancock","2021","Hancock - 2021","3","149","10","ProveN40",764.065
"171","Hancock","2021","Hancock - 2021","3","151","11","ProveN40",992.375
"173","Hancock","2021","Hancock - 2021","3","153","11","UTC",1125.635
"176","Hancock","2021","Hancock - 2021","3","156","12","ProveN40",657.995
"179","Hancock","2021","Hancock - 2021","3","159","12","UTC",994.015
"183","Hancock","2021","Hancock - 2021","4","103","1","UTC",1006.58
"184","Hancock","2021","Hancock - 2021","4","104","1","ProveN40",943.865
"187","Hancock","2021","Hancock - 2021","4","107","2","ProveN40",1024.705
"190","Hancock","2021","Hancock - 2021","4","110","2","UTC",1251.285
"191","Hancock","2021","Hancock - 2021","4","111","3","ProveN40",1112.075
"193","Hancock","2021","Hancock - 2021","4","113","3","UTC",1044.105
"196","Hancock","2021","Hancock - 2021","4","116","4","ProveN40",888.605
"199","Hancock","2021","Hancock - 2021","4","119","4","UTC",1001.13
"201","Hancock","2021","Hancock - 2021","4","121","5","UTC",792.27
"203","Hancock","2021","Hancock - 2021","4","123","5","ProveN40",672.87
"206","Hancock","2021","Hancock - 2021","4","126","6","ProveN40",1084.82
"208","Hancock","2021","Hancock - 2021","4","128","6","UTC",940.02
"211","Hancock","2021","Hancock - 2021","4","131","7","UTC",1022.68
"213","Hancock","2021","Hancock - 2021","4","133","7","ProveN40",865.555
"217","Hancock","2021","Hancock - 2021","4","137","8","ProveN40",1055.82
"220","Hancock","2021","Hancock - 2021","4","140","8","UTC",877.975
"221","Hancock","2021","Hancock - 2021","4","141","9","UTC",966.33
"225","Hancock","2021","Hancock - 2021","4","145","9","ProveN40",1071.195
"226","Hancock","2021","Hancock - 2021","4","146","10","UTC",820.09
"229","Hancock","2021","Hancock - 2021","4","149","10","ProveN40",886.295
"231","Hancock","2021","Hancock - 2021","4","151","11","ProveN40",917.89
"233","Hancock","2021","Hancock - 2021","4","153","11","UTC",1032.815
"236","Hancock","2021","Hancock - 2021","4","156","12","ProveN40",629.87
"239","Hancock","2021","Hancock - 2021","4","159","12","UTC",1048.705
"243","Hancock","2021","Hancock - 2021","5","103","1","UTC",1045.98
"244","Hancock","2021","Hancock - 2021","5","104","1","ProveN40",1473.27
"247","Hancock","2021","Hancock - 2021","5","107","2","ProveN40",2117.485
"250","Hancock","2021","Hancock - 2021","5","110","2","UTC",2197.825
"251","Hancock","2021","Hancock - 2021","5","111","3","ProveN40",1817.35
"253","Hancock","2021","Hancock - 2021","5","113","3","UTC",1707.4
"256","Hancock","2021","Hancock - 2021","5","116","4","ProveN40",1652.6
"259","Hancock","2021","Hancock - 2021","5","119","4","UTC",1344.795
"261","Hancock","2021","Hancock - 2021","5","121","5","UTC",1183.305
"263","Hancock","2021","Hancock - 2021","5","123","5","ProveN40",913.895
"266","Hancock","2021","Hancock - 2021","5","126","6","ProveN40",1436.97
"268","Hancock","2021","Hancock - 2021","5","128","6","UTC",1624.77
"271","Hancock","2021","Hancock - 2021","5","131","7","UTC",1572.77
"273","Hancock","2021","Hancock - 2021","5","133","7","ProveN40",1232.18
"277","Hancock","2021","Hancock - 2021","5","137","8","ProveN40",1397.91
"280","Hancock","2021","Hancock - 2021","5","140","8","UTC",1336.805
"281","Hancock","2021","Hancock - 2021","5","141","9","UTC",1200.675
"285","Hancock","2021","Hancock - 2021","5","145","9","ProveN40",1279.72
"286","Hancock","2021","Hancock - 2021","5","146","10","UTC",1457.245
"289","Hancock","2021","Hancock - 2021","5","149","10","ProveN40",1828.14
"291","Hancock","2021","Hancock - 2021","5","151","11","ProveN40",1440.94
"293","Hancock","2021","Hancock - 2021","5","153","11","UTC",1835.9
"296","Hancock","2021","Hancock - 2021","5","156","12","ProveN40",1387.845
"299","Hancock","2021","Hancock - 2021","5","159","12","UTC",1373.385
