field_id,field_id_hash,n_fert_reduced_kgha,growth_stage,treatment,fresh_weight_g,cci
56412,6fee4b89,0,V8,BAU,321.3,39.68
56412,6fee4b89,44.8,V8,PROVEN40,349.6,44.98
55590,71eb7e38,0,V10,BAU,319.7,36.96
55590,71eb7e38,42.6,V10,PROVEN40,327.3,36.18
38197,720ffbc0,0,V10,BAU,541.3,47.9
38197,720ffbc0,44.8,V10,PROVEN40,550.7,47.51
20797,73273921,0,V9,BAU,619.8,48.45
20797,73273921,44.8,V9,PROVEN40,708.7,46.99
35155,73afed09,0,V10,BAU,515.5,45.22
35155,73afed09,44.8,V10,PROVEN40,598.8,50.69
23043,76e620c6,0,V12,BAU,685,38.7
23043,76e620c6,44.8,V12,PROVEN40,740.8,35.31
26804,788e556a,0,V11,BAU,539.8,45.05
26804,788e556a,44.8,V11,PROVEN40,672.8,53.77
19233,7be6ce82,0,V11,BAU,631.3,37.9
19233,7be6ce82,44.8,V11,PROVEN40,676.6,38.92
27427,7ce747bb,0,V8,BAU,511.8,61.67
27427,7ce747bb,44.8,V8,PROVEN40,611.6,61.15
23193,7e41e284,0,V11,BAU,567,43.21
23193,7e41e284,44.8,V11,PROVEN40,545.1,41.35
21903,80454247,0,V8,BAU,252.5,50.6
21903,80454247,44.8,V8,PROVEN40,257,56.17
36255,83489d2b,0,V12,BAU,418.3,32.94
36255,83489d2b,44.8,V12,PROVEN40,587,38.37
20980,85f8af31,0,V12,BAU,321.3,35.55
20980,85f8af31,44.8,V12,PROVEN40,336.4,41.55
15365,883349dd,0,V8,BAU,224,48.42
15365,883349dd,44.8,V8,PROVEN40,269.8,48.44
55428,8e7c6caf,0,V9,BAU,536.5,34.78
55428,8e7c6caf,44.8,V9,PROVEN40,591.5,38.08
57488,90e95da5,0,VT,BAU,663.7,51.21
57488,90e95da5,44.8,VT,PROVEN40,683.5,53.14
50687,92c3e5a7,0,V10,BAU,743.3,35.93
50687,92c3e5a7,44.8,V10,PROVEN40,855,41.25
18764,932334cc,0,V12,BAU,802.9,44.91
18764,932334cc,39.2,V12,PROVEN40,864.9,52.01
35983,935df3eb,0,V12,BAU,611.5,36.97
35983,935df3eb,44.8,V12,PROVEN40,650.3,35.28
24320,93ef9bca,0,V8,BAU,159.7,39.78
24320,93ef9bca,39.2,V8,PROVEN40,179.3,43.48
35184,956160ad,0,V12,BAU,572.2,34.87
35184,956160ad,44.8,V12,PROVEN40,645.8,41.98
55689,9652a5ba,0,V15,BAU,746.7,44.56
55689,9652a5ba,39.2,V15,PROVEN40,826.7,54.22
23800,96e5b7df,0,V9,BAU,605.8,34.83
23800,96e5b7df,44.8,V9,PROVEN40,685,38.74
20148,978d5b83,0,V9,BAU,402.3,35.39
20148,978d5b83,44.8,V9,PROVEN40,515.7,47.9
39336,97ccddbb,0,V12,BAU,465.7,44.61
39336,97ccddbb,44.8,V12,PROVEN40,582.2,50.51
24851,9b64cbca,0,V8,BAU,196.3,44.89
24851,9b64cbca,44.8,V8,PROVEN40,246.8,44.08
27430,9bcfe749,0,V9,BAU,375.7,51.22
27430,9bcfe749,44.8,V9,PROVEN40,447.3,50.46
19988,9c4b31f1,0,V6,BAU,75.17,45.04
19988,9c4b31f1,44.8,V6,PROVEN40,79.33,47.08
36452,9d818bcc,0,V10,BAU,491.7,34.68
36452,9d818bcc,39.2,V10,PROVEN40,504.8,36.22
20801,9d8f3c06,0,V8,BAU,558,39.46
20801,9d8f3c06,44.8,V8,PROVEN40,545.2,46.73
Kindred,9e3d7e24,0,V11,BAU,362.6,48.64
Kindred,9e3d7e24,44.8,V11,PROVEN40,347.2,47.19
55512,9f5485a7,0,V12,BAU,837.5,36.26
55512,9f5485a7,39.2,V12,PROVEN40,838.3,40.9
56299,9f9f319d,0,V14,BAU,595,17.98
56299,9f9f319d,44.8,V14,PROVEN40,559.7,24.85
36264,a4be650b,0,VT,BAU,558.7,45.7
36264,a4be650b,44.8,VT,PROVEN40,634.5,59.39
38228,a9a8a8f0,0,V8,BAU,531.5,52.76
38228,a9a8a8f0,44.8,V8,PROVEN40,518.6,53.12
27760,aa19951e,0,V7,BAU,100.7,63.91
27760,aa19951e,44.8,V7,PROVEN40,90,53.07
27760,aa19951e,0,VT,BAU,513,33.92
27760,aa19951e,44.8,VT,PROVEN40,752.5,46.62
Weaver,aa1d3e3b,0,V9,BAU,217.6,44.62
Weaver,aa1d3e3b,44.8,V9,PROVEN40,283.3,45.19
23242,aa23ba37,0,V12,BAU,697.8,50.5
23242,aa23ba37,44.8,V12,PROVEN40,661.2,48.78
38252,aa66b701,0,V11,BAU,533.2,50.11
38252,aa66b701,44.8,V11,PROVEN40,572,50.46
24329,ab1b5fbc,0,V9,BAU,285,33.85
24329,ab1b5fbc,39.2,V9,PROVEN40,308,33.85
26652,ab1da964,0,V12,BAU,483,37.32
26652,ab1da964,44.8,V12,PROVEN40,528.2,44.26
39600,ab40cb66,0,V10,BAU,577.6,44.05
39600,ab40cb66,39.2,V10,PROVEN40,613.9,45.86
37317,abc3337f,0,V12,BAU,668.8,38.73
37317,abc3337f,44.8,V12,PROVEN40,666.5,39.35
56754,ac79a807,0,V10,BAU,543.3,42.97
56754,ac79a807,39.2,V10,PROVEN40,546.3,44.32
18762,ad14a768,0,V12,BAU,760.5,47.52
18762,ad14a768,39.2,V12,PROVEN40,777.2,44.61
19494,b060b5c8,0,V12,BAU,589.2,42.66
19494,b060b5c8,44.8,V12,PROVEN40,686.7,42.32
23549,b1c2ea71,0,VT,BAU,691.3,60.46
23549,b1c2ea71,44.8,VT,PROVEN40,666.3,61.4
19330,b1ccaccd,0,VT,BAU,839.2,36.24
19330,b1ccaccd,44.8,VT,PROVEN40,849.7,43.71
56303,b6611da1,0,V12,BAU,500,42.71
56303,b6611da1,44.8,V12,PROVEN40,444.8,37.89
25928,b6986ee6,0,V8,BAU,274.2,44.61
25928,b6986ee6,44.8,V8,PROVEN40,260.8,59.36
