trial_id_hash,treatment,point_count,yieldmean_Mgha,yieldcv_pct
e1d50655,BAU,7067,14.190868222983001,15.36319301
e1d50655,PROVEN40_ReducedN,7591,14.612146046192,12.64216258
19f4b5ff,BAU,677,14.577350344087002,5.784476032
19f4b5ff,PROVEN40_ReducedN,673,14.421791715170002,6.524331881
c4ad590b,BAU,849,15.149999610377002,8.388928582
c4ad590b,PROVEN40_ReducedN,892,14.394307701191002,11.90334424
17c522bb,BAU,8038,11.731522788069,21.53143997
17c522bb,PROVEN40_ReducedN,7762,11.750104402859002,21.73511721
cb36c363,BAU,4054,10.686729771713,22.74929068
cb36c363,PROVEN40_ReducedN,5403,10.957731143106002,26.42088213
1eb925dc,BAU,61677,12.832172994541002,17.14074124
1eb925dc,PROVEN40_ReducedN,54738,12.922611326348001,16.48029773
1afe98ac,BAU,2781,15.579453834955,13.37652104
1afe98ac,PROVEN40_ReducedN,2686,15.257912080756,11.34613667
5172ec32,BAU,652,11.407504518844002,22.85664747
5172ec32,PROVEN40_ReducedN,522,11.474122244520002,25.41581896
c3ae2ac2,BAU,10151,12.980257612112,11.7439968
c3ae2ac2,PROVEN40_ReducedN,8763,12.676966637141001,11.54825878
5487bb5b,BAU,11689,11.712881560610002,22.81727593
5487bb5b,PROVEN40_ReducedN,12006,12.061019848866001,20.58785948
378d1bdc,BAU,4532,13.505113674862002,10.19014683
378d1bdc,PROVEN40_ReducedN,5849,13.589531811293002,5.845590868
f7132ae1,BAU,11934,16.053630341255,15.60206739
f7132ae1,PROVEN40_ReducedN,6369,15.665148656693,18.49250972
3e010c8c,BAU,8432,13.680033038640001,11.02745558
3e010c8c,PROVEN40_ReducedN,8158,13.546161557709002,12.46833752
3e36a05a,BAU,1976,12.754086292254001,14.75618905
3e36a05a,PROVEN40_ReducedN,3644,12.451168020435,18.28862578
e2fe6bbe,BAU,4958,15.375834388880001,21.41763248
e2fe6bbe,PROVEN40_ReducedN,3340,15.919734392578002,14.92575525
fec44112,BAU,6380,12.707037980304001,10.43721674
fec44112,PROVEN40_ReducedN,6173,12.318591880055001,9.629813547
61d777dd,BAU,3148,12.837770082455002,15.19723973
61d777dd,PROVEN40_ReducedN,2988,12.059060407992002,13.66566902
4cdc7529,BAU,17889,14.954306345620003,16.28407741
4cdc7529,PROVEN40_ReducedN,17987,14.791972837617003,11.73171468
c10c10c4,BAU,4089,15.026700198081002,28.62155329
c10c10c4,PROVEN40_ReducedN,4008,14.939154389475002,29.54668365
470b929c,BAU,48055,15.719730190930001,12.74071277
470b929c,PROVEN40_ReducedN,42185,15.667147240939002,11.87549582
806fdfd3,BAU,3396,11.880182975155,25.14546862
806fdfd3,PROVEN40_ReducedN,3843,12.230959517896,21.60529988
a57892d3,BAU,869,12.694278239075002,6.5530085830000004
a57892d3,PROVEN40_ReducedN,927,12.700621963585,7.647620646
00665df3,BAU,6636,15.222713332481002,10.91876771
00665df3,PROVEN40_ReducedN,5969,15.481600514433001,7.990722638
088c7226,BAU,15422,17.338426153678,11.62444283
088c7226,PROVEN40_ReducedN,29496,17.146997658477,9.766468301
b6bce32e,BAU,712,15.782167848888003,12.45604139
b6bce32e,PROVEN40_ReducedN,2068,16.304188088578,6.651998785
442cad74,BAU,9804,11.575408387295,13.37833857
